ds,yhat,yhat_lower,yhat_upper
2019-01-11,219187.85408129494,114590.72363060738,336352.1562441192
2019-01-12,197478.8898764774,78848.45395679671,316201.48285562586
2019-01-13,249660.40604654222,132978.09886827454,370145.0944711675
2019-01-14,199142.29237890252,84561.83192504624,307132.24832951603
2019-01-15,17726.5663525072,-95786.14371139045,137705.39829633335
2019-01-16,124828.77239612114,15405.616141656757,234235.5611393051
2019-01-17,215280.12629254936,104021.18230565664,326867.8809498809
2019-01-18,271829.73866686923,152992.99915454717,378043.5506629231
2019-01-19,241137.88520943164,121811.08129950843,354225.08791764284
2019-01-20,283421.5867538891,177621.24143666174,397093.93200452306
2019-01-21,222343.0483529577,117999.46308771285,335209.2083798553
2019-01-22,29971.303193148342,-73574.58547854928,139607.75522657702
2019-01-23,125996.55824749147,7857.049329306541,234026.06863316603
2019-01-24,205525.1122641973,85565.59319545643,328018.3199560524
2019-01-25,251574.3769592853,138647.00339050216,358725.7292626011
2019-01-26,211059.16477256868,99345.16596367802,315112.24370128167
2019-01-27,244430.69540173298,132410.98612161074,362547.9034536273
2019-01-28,175559.04747597984,67775.75314348677,285059.84886723635
2019-01-29,-23310.438321641443,-143167.98750654492,98793.9454283179
2019-01-30,67652.8314849539,-53227.08520197598,185312.37025231245
2019-01-31,143656.26641249063,36717.028974838526,263444.6956847298
2019-02-01,187776.84486232867,74373.21268018307,298325.918284344
2019-02-02,146946.2756387348,33119.3987409787,256330.14670076838
2019-02-03,181590.04435688176,63551.5647477309,296536.40901105193
2019-02-04,115511.06258545534,3322.9519001448016,231208.76846904503
2019-02-05,-79151.61448558402,-193561.25115896013,36540.14321156239
2019-02-06,17290.562990303442,-91703.60606253996,122722.48307128616
2019-02-07,99871.50882962317,-12439.34330340969,203238.22763097513
2019-02-08,151468.37970218097,35289.58615176454,268093.31777182646
2019-02-09,118792.53487073733,12523.832886140463,228080.36254984696
2019-02-10,162034.8871658915,42419.090117366715,270411.10906381
2019-02-11,104756.18417937649,-10405.914075587916,217841.81165680938
2019-02-12,-81147.50150362492,-193876.71452815481,30741.207645747443
2019-02-13,23775.301964130093,-92096.90213469508,140791.458318711
2019-02-14,114333.82192352306,3600.882976824816,231026.98913510656
2019-02-15,173198.99113628353,67099.57013925303,284228.6123494455
2019-02-16,146899.89627139218,35197.21360369529,258329.2639681454
2019-02-17,195473.88624791286,84390.55164602547,304876.01615247375
2019-02-18,142360.7519242013,24074.470309513694,259967.9731877088
2019-02-19,-40628.84649477521,-151653.90288177397,76389.88321107259
2019-02-20,65908.59614640521,-54709.54205457273,181853.63008570275
2019-02-21,156772.60662870007,43552.7730654508,270505.50987805997
2019-02-22,214662.40907572163,106572.45734745989,322998.3806440412
2019-02-23,186172.0215880818,71053.61583249498,301554.2562716284
2019-02-24,231437.9827316116,117944.4042812555,345241.4351038736
2019-02-25,174030.19573759797,67423.40521514889,289269.6810931739
2019-02-26,-14083.830054339778,-120344.4110076091,110801.0601447954
2019-02-27,86678.08644975939,-18749.210791733945,195791.13180448808
2019-02-28,171310.4871333897,49458.60328128827,281974.7486779923
2019-03-01,222718.04682143554,113210.41269850495,332364.40012308676
2019-03-02,187704.52297768975,65353.879931319665,295894.8805390696
2019-03-03,226614.27014726325,116085.8648342393,337271.83572009724
2019-03-04,163216.98609674285,48002.444100909524,277857.167908808
2019-03-05,-30333.85639860708,-133043.43264832228,77425.73522482558
2019-03-06,65710.69999538253,-42793.49713195355,175623.60846021643
2019-03-07,146488.0346852036,31360.652337843978,263276.030151019
2019-03-08,195017.70702971146,83740.15297125174,309179.7229115617
2019-03-09,158187.23967860348,43209.41611861009,273002.1189513117
2019-03-10,196391.40014660812,79639.28844604503,306345.8092317607
2019-03-11,133415.70577370605,27685.556143570695,247079.88181808835
2019-03-12,-58605.36468454616,-179450.02478206315,50877.78020268896
2019-03-13,40024.13900035503,-70749.18187691475,151898.01072005896
2019-03-14,124356.36755712223,4896.172260356762,245925.6028996828
2019-03-15,177296.15455344008,57679.52549514285,281419.5567853264
2019-03-16,145590.3724876806,34604.06146446563,252521.81140772818
2019-03-17,189471.5268070852,73682.05065344345,299243.5989963199
2019-03-18,132546.18365988263,29245.96296350048,246568.290955612
2019-03-19,-53241.43160946196,-157940.44270645603,61515.26933623062
2019-03-20,51608.76783936788,-58042.42372916908,168957.2416078893
2019-03-21,141953.29012059953,31551.946185287983,258530.95008230818
2019-03-22,200507.3464313524,88607.17226523747,312601.37784981256
2019-03-23,173839.8072441808,62347.208137647816,285494.74210018216
2019-03-24,222022.03566139325,99936.30033880954,335185.3589157092
2019-03-25,168521.04358122454,52184.951325451046,283456.8820524927
2019-03-26,-14832.826928198716,-127994.39093956482,108879.727449421
2019-03-27,91375.6206657154,-21990.000259184504,195526.26531351652
2019-03-28,181949.4655763842,60937.597706155066,301802.37889450113
2019-03-29,239583.49864028645,120509.81888793776,355908.48904546234
2019-03-30,210859.7636530397,101414.03597303951,324898.2860219386
2019-03-31,255896.00102731906,140252.8869697438,372824.6022298375
2019-04-01,198237.45501429893,87498.25764767069,309518.5739547796
2019-04-02,9822.289453870995,-107749.78632802468,122495.97436825774
2019-04-03,110199.99933643814,-4638.518591701538,224172.4834835889
2019-04-04,194330.57219075406,85043.80325229834,302586.0110981344
2019-04-05,245083.81065252138,124227.53901426253,357562.7087295845
2019-04-06,209229.8601864512,94673.50002820388,321193.4697401639
2019-04-07,247082.27819098497,142572.5306346127,355841.797123138
2019-04-08,182384.261429022,74889.53881159416,288435.8223167357
2019-04-09,-12731.56186827051,-121280.36001059943,101808.34166252779
2019-04-10,81469.7731044399,-31877.16361846215,196486.6403505084
2019-04-11,160119.4972426497,44082.057857172826,275521.10566995386
